Questions,Answers,
What is public interface?,Is a set of public functions defined in the â€œpublic:â€ section in the class body. This section provides the data accessibility of read/write operations as well as other service functions. Example: see the â€œpublicâ€ section in Point class. We can add another service function that prints the data members x and y to the stdout as follows:,
What are private functions?,They are functions defined in the â€œprivateâ€ section of the class body where they are only visible to the class itself; They are used when the class needs to some internal functions that the user do not need to know about and they are typically helper functions that help other public functions. Example: suppose that in the Point3D function we need a function that will generate a random id# for the current object and we want to hide this function from the user so whenever a random ID is needed other functions in the class can automatically call this function:,
Define access modifiers,"Private: the section in the class that is only visible to the class it self. Protected: the section in the class that is visible to the class and to its derived classes. Public: the section in the class that is visible to all: class, derived classes and outer world.",
"Define state, data member, attribute, property","They all refer to one thing, that is, the data fields that provide data specification for the class. Example: see the data members defined in the â€œprotected:â€ section below.",
"Define function, method & behavior","They all refer to the same thing, the means of modeling how the object can operate and behave. While data members model states and attributes, functions model actions, operations and behaviors.",
What is class specification?,"The entire class body where every data member declarations, function members prototypes, constructors, accessors mutator prototypes and other elements of class declaration; all of these are typically kept in a header file â€œ.hâ€ apart from the implementation file of the class â€œ.cppâ€.",
What is class implementation?,"It is typically kept in a separate file apart from class specification. In the implementation file, all functions declared in the class specification section/file are defined including the constructors, destructor, accessors, mutators and other service functions.",
Write the simplest class possible that does nothing.,A simple empty class.,
What is an instance of a class?,It is an object instantiated from a class. An instance of a class is created at runtime using one the available constructors. By setting its states/attributes/data members it becomes a specific instant/object of the class.,
Define instantiation,"To create a new instance (object) of a class. Only when you instantiate an object, then you can use it and communicate with it.",
What is a message?,Objects interact with each other using messaging which is simply calling each otherâ€™s functions and receiving/causing the desired response.,
What are constructors?,They are special functions exits in the public section of the class used to instantiate and create new instances/objects of a class. The general characteristics of them include: They do not have a return type. They have the exact name of the class. They must be defined in the public section.,
What are constructor types and their purposes?,"Default constructor: called in two situations, when declaring an object without initialization and when explicitly calling the default constructor function. Overloaded constructor: called when the user wants to create an object and sets some or all of the data members of the class. Copy constructor: called when the user has a previously created object and want to copy it to a new second object by passing the object reference to the copy constructor of the new object.",
What happens if you do not provide any constructor to a class?,The system automatically provides: A default constructor that will create a new instance of the class but with uninitialized data members. A copy constructor that does a shallow copy but not deep copy. See the question on shallow copy.,
What are distinguishing characteristics of default constructors?,No parameters or all defaulted parameters in its signature.,
What are distinguishing characteristics of overloaded constructors?,One or more parameters in its signature.,
What are distinguishing characteristics of copy constructors?,Only one parameter in its signature. The parameter must be of its class type. The parameter must be passed by reference.,
What are destructors?,A destructor is a special function member of a class designed to execute the required code when the object is about to be destroyed. One important task under destructors is the dynamic memory de-allocation.,
"In function members, can the parameter names match the names of the data members?","Yes they can but, the pointer â€œthis->â€ must be used to access the class data members.",
"What is sub, derived, child, inheriting class?","All of these terms refer to the same thing that is, a class that extends and reuses a previously designed class. The old class is the parent/super/base class and the new class is child/sub/child class.",
"What is super, base, parent, inherited class?","All of these terms refer to the same thing that is, a class that extends and reuses a previously designed class. The old class is the parent/super/base class and the new class is child/sub/child class.",
What is ï¿½friendï¿½ modifier for standalone function?,â€œfriendâ€ modifier grants public access privilege to an entire other class or an external function defined outside the class that belongs to another class or a global function.,
What is ï¿½thisï¿½?,A private constant pointer that points to the current instance of a class and only can be accessed by the class itself.,
What is a friend class?,"Class A can grant Class B an access to all of its content including the private, protected and public sections by declaring it as a friend.",
What are virtual functions and why they are needed?,"It is a mechanism for dynamic function call binding in a hierarchical inheritance, also called polymorphism. If a function member of a base class is needed to be overridden in a derived class, then it should be made as â€œvirtualâ€ in base class, so in run-time it is bound dynamically based on the type of the object.",
Define static binding,It occurs at compile time in function calls resolution in a hierarchy of inheritance if the functions members in base classes are not declared as â€œvirtualâ€.,
Define dynamic binding,It occurs at run time in function calls resolution in a hierarchy of inheritance if the functions members in base classes are declared as â€œvirtualâ€.,
How does object slicing work?,"It occurs when an instance of child class is assigned to an instance of a parent class, since child class potentially contains more data members; the extra data members will be sliced of lost in the process, hence the name.",
Compare function overloading vs. overriding vs. redefinition,"Overloading: defining multiple function using the same function name but with different parameter list ether in type or number. In classes, the overloaded constructor is an example where you can have many constructors with different parameter list signatures. Redefinition: if a base class non-virtual function is redefined in a derived class, it is called redefined and it is statically bound. Overriding: Redefinition: if a base class virtual function is redefined in a derived class, it is called overridden and it is dynamically bound.",
What are pure virtual functions and how do you specify that?,"A mechanism that mandates all functions defined this way in the base class to be overridden in the derived class. The pure function has no implementation code in the base class, it is only stated as a prototype = 0;",
Define abstract classes,A class that can only be derived (inherited from) but cannot by instantiated (no objects can be created from it). A class that defines at least one pure virtual function is an abstract class.,
Define multiple inheritance,A derived class can extend/inherit from multiple base classes which allow the derived class to have more than one parent and inherit their functionality.,
How to resolve conflicts in naming between multiple parent classes if they are called from a child?,"Derived class redefines the multiply-defined function in parents or, Derived class invokes member function in a particular base class using scope resolution operator ::. Compiler errors occur if derived class uses base class function without one of above solutions.",
What is code reuse?,"It is a mechanism in OOP that facilitates the utilization of previously created code; its main advantages include: time saving, better resource utilization and reducing redundancy. One good example of code reuse is inheritance.",
What is class extension?,"It means inheritance; where a derived class inherits all of the base class content and extends the data member or/and the function members. In OOP inheritance implies extension where, there is no point of just inheriting the same content of the base class and not adding any data or function members, if that is the case then, the base class by itself could be used directly and no need for inheritance.",
Define class aggregation,Utilizing (by instantiation) one or more classes within another class to model a certain more complex object. Example: aggregating two instances of Point3D to model a line segment class.,
Define nested classes,Declaring and defining an inner class within another.,
"When child class default constructor/destructor are called, what happens to parent?","Default constructor: the parent constructor is called then the childâ€™s. Destructor: the child destructor is called first then the parentâ€™s. Typical as a demo, debugging messages are placed in default constructer and destructor to show this behavior.",
When child class overloaded constructor are called what happens to parent?,Parentâ€™s overloaded constructor is not called.,
How can an overloaded constructor of a parent class be called by its children?,"In the header of the overloaded constructor of the child, use â€œ:â€ and issue a call to the parent overloaded constructor using the parameters (all or as needed) of child as the arguments to the parentâ€™s. The base class takes care of constructing its part of the data and the derived class takes care of its extended part only.",
How polymorphism can be demonstrated?,Two ways: Using reference variables and Using pointer variables.,
Define operator overloading,"For the language intrinsic data types such as bool, char, short, int, etc. the language defines all of their related operators such as +, -, *, &&, ||, !, etc.. As for the user defined data types (UDT), the designer of these classes must provide specific implementation of all required operators that can operate on a particular UDT. For example if a new data type was created for matrices then, what would the +, -, *, /, etc.",
Define function templates,"A feature in c++ that enables functions to process any data type (intrinsic or UDT) as long as all the operations in the function template are defined for the data type to be processed. Without templates, the programmer needs to write a separate function for each data type.",
Define class templates,Extends the concept of function templates as in (Q61) to class templates where the entire class can be generic and handles any data type as long as all used operations in the class templates are defined for these data types.,
What is exception handling?,"Is a construct and a mechanism that manages the occurrence of errors/abnormalities at run time. Exception handling is designed to separate the error handling code from the original code to gracefully handle the fault situation by transferring the program control to the exception handling code. Many aspects of software development process can be improved such as: safety, readability, writeability, maintainability, etc.",
How and where is ï¿½throwï¿½ used?,"Any function can declare that it â€œthrowsâ€ a certain type of an exception either defined in <exception> or a UDT, or it can leave the type empty in the â€œthrow()â€ which indicates that it will throw any type of exception.",
How multiple exceptions are handled?,By using multiple â€œcatchâ€ blocks for the same â€œtryâ€ block.,
How and where try-catch blocks are used?,"If a certain code has a possible exception, it is placed within a â€œtryâ€ block where the code should be throwing that particular exception using â€œthrowâ€; the â€œcatchâ€ block is used after the â€œtryâ€ block to handle one or more exceptions; use the catch( â€¦ ) to catch default exception.",
"In exception handling, how and why inner/customized classes are used?","When the situation needs more than the standard exception types, the programmer can create her own classes to manage these new types. ",
Define hierarchical inheritance,It is an inheritance structure where multiple classes are derived from one base as well as multi-level inheritance; meaning that any derived class can have other derived classes. ,
Define inheritance modes,"The base class access specifier that gives different privileges to the derived class; placed right before the base class name in the inheritance statement. If no access specifier is found, it defaults to be â€œprivateâ€.",
Define shallow vs. deep copy,"Shallow copy: is automatically provided by the system when copying an old object to a newly created one using the copy constructor which does member-wise assignment. If all members are statically defined (no dynamic memory allocation) then, the shallow copy is safe and effective otherwise, the pointers to dynamic memory in both objects will be aliases and will point to the same location which is undesirable since objects are typically independent. Deep copy: solves the problem of shallow copy by allocating new independent memory for any dynamically allocated data in the copy constructor.",
Define static data members,They are data members defined with â€œstaticâ€ key word. These data members become class members; they do not belong to an object but to the class; they can be accessed without the need to instantiate an object; they can be accessed using the class name and the scope resolution operator â€œ::â€. A static data member can only be accessed from a static function member in the class.,
Define Static function members,They are function members defined with â€œstaticâ€ key word. These function members become class members; they do not belong to an object but to the class; they can be accessed without the need to instantiate an object; they can be accessed using the class name and the scope resolution operator â€œ::â€.,
What is class variable?,They are static data members.,
What is object variable?,They are all other non-static data members.,
How do you initialize a class variable?,"Anywhere outside the class specification body, typically in the â€œclass.cppâ€ implementation file. They are accessed using the class name and the scope resolution and set to appropriate values. They can be initialized within class specification body only if they are constants â€œstatic constâ€.",
How do you initialize an object variable?,"They only can be initialized in the implementations of the public interface functions in the implementation code: constructors, private functions and any other member functions of the class.",
Explain stale data.,"It is a situation where an output data is computed from an old input data although the user has fed her fresh data but, due to unreliable data handling in the class, the computation of the out data was erroneous.",
"How, where and why ""const"" keyword in the public interface?",It is recommended to be used in all functions (especially the accessor functions) that do not intend to change any class data member to prevent accidental change to these data members. It is placed after the header of the function.,
"In polymorphism, explain the ""is-a"" relation.","Polymorphism is a mechanism that allows behaviors defined in base class to be dynamically bound to the appropriate behaviors in derived classes. To do that, only derived object/pointer can be assigned to base object/pointer but not vice versa, which is the essence of â€œis-aâ€ relation since a child class â€œis-aâ€ parent class is always valid such as a Point3D is a Point but we cannot say that a Point is a Point3D.",
"For a template function to work, what are the conditions of the supported classes?",All operators applied to the objects of the classes used in the function template must be supported in their classes.,
Why a template class must be written in one single file?,"By separating .h and .cpp files we hide the class implementation from its specification. Then, the implementation file can be compiled as an Obj code which a user can link it to her code. The user code must include the specification file â€œ.hâ€ file to be able to compile before linking. In non-template classes, all variables are defined as specific data types in .h and .cpp files. Therefore, compiler can generate the target machine code since the information of the data types is known. As for Template classes, no information about the specific data types are known in the template class in both sections specification and implementation. Only after the user instantiates an object as in: TClass myObj; After this instantiation statement, the complier can generate the specific version of the template class to match the specified data type(s). Due to all of the above, the template class must keep the specification and implementation sections in one file as source code. The implementation section can NOT be separately compiled into an .obj file to be linked with the user code.",
Explain memory leakage,"Occurs when the programmer repeatedly allocates dynamic memory and does not release it when it is no longer needed, this will eventually exhaust all memory resources and cause a fatal error that will crash the program.",
How cascaded operators work?,"In applying multiple instances of the same operator in one statement where every result of one operator feeds into the next, the implementation of this overloaded operator in a class need to address this feature for the cascading to work.",
How to test a default constructor?,The default constructor is called in two situations: when declaring an object and when creating a dynamic object using default constructor.,
How to test a copy constructor?,A copy constructor is called when copy constructor is explicitly called or an object is returned by value.,
What is a scope resolution operator mean?,The â€œ::â€ is used to identify which data/functions members belong to which class. It can be used in different situations.,
How parent member functions can be accessed?,Using the scope resolution operator â€œ::â€.,
"Can an object be returned from a stand-alone function, how?",C++ allows objects to be returned form functions.Example: assume that we want to write a function that reads data members in a Point3D object.,
"Can an object be returned from its own methods, how?",C++ has a feature that allow that; through the â€œthisâ€ key work an object can return itself in two ways:Returning a copy of itself. Returning a pointer to the object,
Can an array of objects be returned from a stand-alone function?,Using dynamic memory allocation and returning a pointer to it.,
"What is a forward declaration, give an example?","In situations where a class needs to use the name of another external class, a forward declaration statement is needed for the compiler to know that a class with this name exists outside this file. A typical situation is when defining a friend function of class A in class B, Class B needs a forward declaration statement of class A. ",
What is a circular reference/dependency among classes?,It occurs when two classes declare each other in their header files so they depend on each other for their specifications to be complete.,
Why it is recommended to make base class destructors virtual,In normal situation they need not be virtual but in case of pointer to base is set to point to a derived object.,
What is OOP?,OOP stands for Object Oriented Programming. OOP is a programming paradigm that relies on the concept of classes and objects. It is used to structure a software program into simple reusable pieces of code blueprints (usually called classes) which are used to create individual instances of objects. C is a procedural a language and yet C++ is an Object Oriented language because it has classes and can take advantage of polymorphism.,
What is a Class?,Class is a blue print which reflects the entityâ€™s attributes and actions. Technically defining a class is designing a user defined data type.Here is a simple example class in C++.,
What is an Object?,"An instance of a class is called an object.""Window window;"". That is an instance of the Window class, ie, a Window object.",
List the types of inheritance supported in C++,"Single Inheritance â€” the derived class inherits only one base class. It allows reusability of features inherited from the base class also called the parent class or superclass. Multiple Inheritance â€” The derived class has multiple base classes. Hierarchical Inheritance â€” When more than one derived class is created from a single base class. Multi Level Inheritance â€” When a derived class is created from another derived class. You could say that the child class has a parent class, and a grandparent class for example . Hybrid Inheritance â€” This is a combination of more than one type of inheritance. This is sometimes also called Multi-Path Inheritance.",
What is the role of the protected access specifier?,"Class members are declared as protected can be used by member functions and friends (classes or functions) of the class. Additionally, they can be used by classes derived from the class.",
What is encapsulation?,The process of binding the data and the functions acting on the data together in an entity (class).,
What is abstraction?,Abstraction refers to hiding the internal implementation and exhibiting only the necessary details.,
What is an inline function?,An inline function is a suggestion to the compiler to treat the function as a macro. This is faster than invoking the function normally. The compiler will paste the contents of the function in place into the execution instructions at compile time instead of using a subroutine at runtime.,
What is a storage class?,"Defines the scope and life time of variables and/or functions. These specifiers precede the type that they modify. These are the C++ storage classes:auto, register, static, extern and mutable.",
What is a auto storage class?,The auto storage class is the default storage class for all local variables.,
What is a register storage class?,Register Storage Classis Used to define local variables that should be defined in a register instead of RAM. This means that the variable has a maximum size equal to the register size (usually one word) and canâ€™t have the unary â€˜&â€™ operator applied to it (as it does not have a memory location),
What is a static storage class?,"The static storage class instructs the compiler to keep a local variable in existence during the life time of the program instead of creating and destroying it each time it comes into and goes out of scope. Therefore making local variables static allows them to maintain their values between function calls. The static modifier may also be applied to global variables. When this is done, it causes that variableâ€™s scope to be restricted to the file in which it is declared.",
What is a extern storage class?,"The extern storage class is used to give a reference of a global variable that is visible to ALL program files. When you use extern the variable cannot be initialized as all it does is point the variable name at a storage location that has been previously defined. When you have multiple files and you define a global variable or function, which will be used in other files also, then extern will be used in another to give reference or function.",
What is a mutable storage class?,"The mutable specifier applies only to class objects. It allows a member of an object to override a const member function. That is, a mutable member can be modified by a const member function. The mutable storage class specifier is used only on a class data member to make it modifiable even though the member is part of an object declared as const. You cannot use the mutable specifier with names declared as static or const, or reference members.",
What is a virtual function?,"A C++ virtual function is a member function in the base class that you redefine in a derived class. It is declared using the virtual keyword.It is used to tell the compiler to perform dynamic linkage or late binding on the function. There is a necessity to use the single pointer to refer to all the objects of the different classes. So, we create the pointer to the base class that refers to all the derived objects, but, when the base class pointer contains the address of the derived class object, always executes the base class function. This issue can only be resolved using the â€˜virtualâ€™ function.When the function is made virtual , C++ determines which function is to be invoked at the runtime based on the type of the object pointed at by the base class pointer.",
What is a pure virtual function?,"A pure virtual function does not perform any task, it is only a placeholder. It is a do-nothing function. A class containing a pure virtual function cannot be used to declare objects of its own, such classes are known as abstract base classes. The main objective of the base class is to provide the traits to the derived classes and to create the base pointer used for achieving runtime polymorphism.",
What are the differences between references and pointers?,"Both references and pointers can be used to change local variables of one function inside another function. Both of them can also be used to save copying of big objects when passed as arguments to functions or returned from functions, to get efficiency gain. Despite above similarities, there are following differences between references and pointers. References are less powerful than pointers.",
What is polymorphism?,The word polymorphism means â€œmany formsâ€.There are two types of polymorphism in C++: compile time polymorphism and runtime polymorphism.,
What is the this pointer?,The this pointer is passed as a hidden argument to all nonstatic member function calls and is available as a local variable within the body of all nonstatic functions. This pointer is a constant pointer that holds the memory address of the current object. This pointer is not available in static member functions as static member functions can be called without any object (with class name).,
What is a VTABLE and VPTR?,vtable is a table of function pointers. It is maintained per class. VPTR is a pointer to vtable. It is maintained per object. Compiler adds additional code at two places to maintain and use vtable and vptr.,
Distinguish between shallow copy and deep copy,"In general if the variables of an object have been dynamically allocated, then it is required to do a Deep Copy in order to create a copy of the object. Shallow Copy: In shallow copy, an object is created by simply copying the data of all variables of the original object. This works well if none of the variables of the object are defined in the heap section of memory. If some variables are dynamically allocated memory from heap section, then copied object variable will also reference the same memory location. Deep Copy: In Deep copy, an object is created by copying data of all variables and it also allocates similar memory resources with the same value to the object. In order to perform Deep copy, we need to explicitly define the copy constructor and assign dynamic memory as well if required. Also, it is required to dynamically allocate memory to the variables in the other constructors as well.",
What is an abstract class in C++?,A class with at least one pure virtual function. We cannot instantiate an abstract class.,
What is the role of static member keyword on class member variable?,A static variable does exist through the objects for the respective class are not created. Static member variable share a common memory across all the objects created for the respective class. A static member variable can be referred using the class name itself.,
Name the data type which can be used to store wide characters in C++,wchar_t,
What is/are the operator/operators used to access the class members?,Dot (.) and Arrow ( -> ),
What is function overloading?,Defining several functions with the same name with unique list of parameters.,
What is operator overloading?,Defining a new job for the existing operator with respect to class objects. You will overload an operator inside of a class definition.,
Do we have a String primitive data type in C++?,"No, itâ€™s a class from the STL (Standard template library).",
Name the default standard streams in C++.,"cin, cout, cerr, and clog. Using cout: Use cout to print debug output. Using cin: Use cin to get console input from the user. Using cerr: Beginner C++ programmers use cout to display the error using standard output to debug their programs, but it is always good practice to use cerr to display errors. This is because instead of showing the error stream to the screen, you can later change the error stream to write the errors to a file. Using clog: clog and cerr are both associated with stderr, but it differs from cerr in the sense that the streams in clog are buffered and not automatically tied with cout.",
What is a namespace?,"A namespace is a declarative region that provides a scope to the identifiers (the names of types, functions, variables, etc) inside it. Namespaces are used to organize code into logical groups and to prevent name collisions that can occur especially when your code base includes multiple libraries. All identifiers at namespace scope are visible to one another without qualification. Identifiers outside the namespace can access the members by using the fully qualified name for each identifier.",
What are the different data types present in C++?,"The 4 data types in C++ are : primitive datatype, derived datatype, enumeration and user-defined datatype.",
Explain the purpose of the volatile keyword,The volatile keyword is used to tell the compiler that the value may change at any time â€” without any actions being taken by the code the compiler finds nearby. In practice there are three main cases where this would happen.,
What is the basic structure of a C++ program?,"The first line that begins with a preprocessor directive. In this case, we are using include as a directive which tells the compiler to include a header while iostream will be used for basic input/output later in the program. The next line is the main function that returns an integer. The main function is the starting point of execution for any C++ program. Irrespective of its position in the source code file, the contents of the main function are always executed first by the C++ compiler. In the next line, we can see open curly braces that indicate the start of a block of code. After this, we see the programming instruction or the line of code that uses the count which is the standard output stream (its definition is present in iostream.h). This output stream takes a string of characters and prints it to a standard output device. In this case, it is,Hello, World. Please note that each C++ instruction ends with a semicolon (;), which is very much necessary, and omitting it will result in compilation errors. Before closing the braces, we see another line â€œreturn 0;â€. This is the returning point to the main function. Every C++ program will have a basic structure as shown above with a preprocessor directive, the main function declaration followed by a block of code, and then a returning point to the main function which indicates successful execution of the program.",
What are the Comments in C++?,"Comments in C++ are simply a piece of source code ignored by the compiler. They are only helpful for a programmer to add a description or additional information about their source code. In C++ there are two ways to add comments: single-line comment and block comment. The first type will discard everything after the compiler encounters â€œ//â€. In the second type, the compiler discards everything between â€œ/*â€ and â€œ*/â€.",
What is Declaration and Definition of a variable.,"The declaration of a variable is merely specifying the data type of a variable and the variable name. As a result of the declaration, we tell the compiler to reserve the space for a variable in the memory according to the data type specified.",
Comment on the Local and Global scope of a variable.,"The scope of a variable is defined as the extent of the program code within which the variable remains active i.e. it can be declared, defined, or worked with. There are two types of scope in C++: Local Scope: A variable is said to have a local scope or is local when it is declared inside a code block. The variable remains active only inside the block and is not accessible outside the code block. Global Scope: A variable has a global scope when it is accessible throughout the program. A global variable is declared on top of the program before all the function definitions.",
What is the precedence when there are a Global variable and a Local variable in the program with the same name?,"Whenever there is a local variable with the same name as that of a global variable, the compiler gives precedence to the local variable.",
"When there are a Global variable and a Local variable with the same name, how will you access the global variable?","When there are two variables with the same name but different scopes, i.e. one is a local variable and the other is a global variable, the compiler will give preference to a local variable. In order to access the global variable, we make use of a â€œscope resolution operator (::)â€. Using this operator, we can access the value of the global variable.",
How many ways are there to initialize an int with a Constant?,There are two ways: The first format uses traditional C notation i.e. int result = 10;. The second format uses the constructor notation i.e. int result (10);.,
What is a Constant?,"A constant is an expression that has a fixed value. They can be divided into integer, decimal, floating-point, character, or string constants depending on their data type.",
Comment on Assignment Operator in C++.,"The assignment operator in C++ is used to assign a value to another variable.The part at the left of the =operator is known as an lvalue (left value) and the right as rvalue (right value). Lvalue must always be a variable whereas the right side can be a constant, a variable, the result of an operation, or any combination of them. The assignment operation always takes place from the right to left and never at the inverse. One property which C++ has over the other programming languages is that the assignment operator can be used as the rvalue (or part of an rvalue) for another assignment.",
What is the difference between equal to (==) and Assignment Operator (=)?,"In C++, equal to (==) and assignment operator (=) are two completely different operators. Equal to (==) is an equality relational operator that evaluates two expressions to see if they are equal and returns true if they are equal and false if they are not. The assignment operator (=) is used to assign a value to a variable. Hence, we can have a complex assignment operation inside the equality relational operator for evaluation.",
What are the various Arithmetic Operators in C++?,"C++ supports the following arithmetic operators: + addition, â€“ subtraction, * multiplication, / division and % module.",
State the difference between Pre and Post Increment/Decrement Operations.,"C++ allows two operators i.e ++ (increment) and â€“(decrement), that allow you to add 1 to the existing value of a variable and subtract 1 from the variable respectively. These operators are in turn, called increment (++) and decrement (â€“). The difference between the meaning of pre and post depends upon how the expression is evaluated and the result is stored. In the case of the pre-increment/decrement operator, the increment/decrement operation is carried out first, and then the result is passed to an lvalue. Whereas for post-increment/decrement operations, the lvalue is evaluated first and then increment/decrement is performed accordingly.",
What are the Extraction and Insertion operators in C++?,"In the iostream.h library of C++, cin, and cout is the two data streams that are used for input and output respectively. Cout is normally directed to the screen and cin is assigned to the keyboard. â€œcinâ€ (extraction operator): By using overloaded operator >> with cin stream, C++ handles the standard input. â€œcoutâ€ (insertion operator): This is used in conjunction with the overloaded << operator. It directs the data that followed it into the cout stream.",
What is the difference between a while and a do while loop? ,"In the case of the while loop, we can directly exit the loop at the beginning, if the condition is not met whereas in the do-while loop we execute the loop statements at least once.",
"All functions should return a value as per the general syntax. However, in case, if we donâ€™t want a function to return any value, we use â€œvoidâ€ to indicate that. This means that we use â€œvoidâ€ to indicate that the function has no return value or it returns â€œvoidâ€.",What do you mean by â€˜voidâ€™ return type?,
Explain Pass by Value and Pass by Reference.,"While passing parameters to the function using â€œPass by Valueâ€, we pass a copy of the parameters to the function.  Hence, whatever modifications are made to the parameters in the called function are not passed back to the calling function. Thus the variables in the calling function remain unchanged.",
What are Default Parameters? How are they evaluated in the C++ function?,"A default Parameter is a value that is assigned to each parameter while declaring a function. This value is used if that parameter is left blank while calling the function. To specify a default value for a particular parameter, we simply assign a value to the parameter in the function declaration. If the value is not passed for this parameter during the function call, then the compiler uses the default value provided. If a value is specified, then this default value is stepped on and the passed value is used.",
What is an Inline function in C++?,"Inline function is a function that is compiled by the compiler as the point of calling the function and the code is substituted at that point. This makes compiling faster. This function is defined by prefixing the function prototype with the keyword â€œinlineâ€. Such functions are advantageous only when the code of the inline function is small and simple. Although a function is defined as Inline, it is completely compiler dependent to evaluate it as inline or not.",
Why are arrays usually processed with for loop?,"Array uses the index to traverse each of its elements. If A is an array then each of its elements is accessed as A[i]. Programmatically, all that is required for this to work is an iterative block with a loop variable i that serves as an index (counter) incrementing from 0 to A.length-1. This is exactly what a loop does and this is the reason why we process arrays using for loops.",
State the difference between delete and delete[].,â€œdelete[]â€ is used to release the memory allocated to an array that was allocated using new[]. â€œdeleteâ€ is used to release one chunk of memory which was allocated using new.,
Whatâ€™s the order in which the objects in an array are destructed?,"Objects in an array are destructed in the reverse order of construction: First constructed, last destructed.",
What is a Reference Variable in C++?,"A reference variable is an alias name for the existing variable. This means that both the variable name and the reference variable point to the same memory location. Hence, whenever the variable is updated, the reference is updated too.",
What is the keyword auto for?,"By default, every local variable of the function is automatic i.e. auto. A global variable is not an automatic variable.",
What is a Static Variable?,"A static variable is a local variable that retains its value across the function calls. Static variables are declared using the keyword â€œstaticâ€. Numeric variables which are static have the default value as zero. If a global variable is static, then its visibility is limited to the same source code.",
What is the purpose of the Extern Storage Specifier?,â€œExternâ€ specifier is used to resolve the scope of a global symbol.,
Explain Register Storage Specifier.,"â€œRegisterâ€ variable should be used whenever the variable is used. When a variable is declared with a â€œregisterâ€ specifier, then the compiler gives a CPU register for its storage to speed up the lookup of the variable.",
When to use â€œconstâ€ reference arguments in a function?,"â€œconstâ€ protects from programming errors that could alter data. As a result of using â€œconstâ€, the function is able to process both const and non-const actual arguments, which is not possible when â€œconstâ€ is not used. Using a const reference will allow the function to generate and use a temporary variable in an appropriate manner.",
What is the use of a â€˜usingâ€™ declaration?,Using Declaration is used to refer to a name from the namespace without the scope resolution operator.,
What is Name Mangling?,C++ compiler encodes the parameter types with function/method into a unique name. This process is called name mangling. The inverse process is called demangling.,
What is a Constructor and what is it called?,Constructor is a member function of the class having the same name as the class. It is mainly used for initializing the members of the class. By default constructors are public. There are two ways in which the constructors are called: implicitly and Explicit calling.,
What is implicit calling?,In Implicitly calling Constructors are implicitly called by the compiler when an object of the class is created. This creates an object on a Stack.,
What is explicit calling?,"In Explicit Calling when the object of a class is created using new, constructors are called explicitly. This usually creates an object on a Heap.",
What is a COPY CONSTRUCTOR and when is it called?,A copy constructor is a constructor that accepts an object of the same class as its parameter and copies its data members to the object on the left part of the assignment. It is useful when we need to construct a new object of the same class.,
What is a Conversion Constructor?,It is a constructor that accepts one argument of a different type. Conversion constructors are mainly used for converting from one type to another.,
What is an Explicit Constructor?,A conversion constructor is declared with the explicit keyword. The compiler does not use an explicit constructor to implement an implied conversion of types. Its purpose is reserved explicitly for construction.,
What is the role of the Static keyword for a class member variable?,"The static member variable shares a common memory across all the objects created for the respective class. We need not refer to the static member variable using an object. However, it can be accessed using the class name itself.",
Explain the Static Member Function.,"A static member function can access only the static member variable of the class. Same as the static member variables, a static member function can also be accessed using the class name.",
Function can be overloaded based on the parameter which is a value or a reference. Explain if the statement is true.,"False. Both, Passing by value and Passing by reference look identical to the caller.",
What are the benefits of Operator Overloading?,"By overloading standard operators on a class, we can extend the meaning of these operators, so that they can also operate on the other user-defined objects. Function overloading allows us to reduce the complexity of the code and make it more clear and readable as we can have the same function names with different argument lists.",
